transaction_id,user_id,timestamp,amount,merchant_category,hour,day_of_week,month,user_age,account_age_days,transaction_count_day,amount_last_hour,amount_last_day,velocity_1h,avg_amount_30d,std_amount_30d,geographic_risk,device_risk,device_type,payment_method,time_since_last_transaction,is_fraud
txn_000000,user_6734,2025-09-09 21:15:01.694194,104.34,restaurant,19,1,9,36,1268,8,66.74172222780437,185.72347702584375,3,59.263022433111104,194.58377338915898,0.6659541126403374,0.10616955533913808,mobile,card_chip,464,0
txn_000001,user_8849,2025-08-21 19:15:01.717677,10.92,retail,21,3,8,33,1836,3,76.49239825343255,984.0693415164487,1,70.90268572399897,129.3580733422589,0.41936688658110405,0.25204127438822366,mobile,card_swipe,18,1
txn_000002,user_1775,2025-08-30 08:15:01.719631,1089.23,online,8,5,8,31,1134,4,36.44721755761247,767.5933398017698,2,305.46514751899616,25.636392642000544,0.889599342216499,0.5598033066958126,desktop,contactless,1000,1
txn_000003,user_8629,2025-09-03 01:15:01.719792,250.39,retail,15,2,9,74,1755,8,168.9067697356303,759.9541046305118,5,314.0380245487317,193.74595530754485,0.48562739814934774,0.13799959101127168,mobile,online,69,0
txn_000004,user_6258,2025-08-23 10:15:01.719909,11.44,online,6,5,8,34,421,3,158.03510810624113,625.6619760419608,2,211.30957784492267,40.85643071452335,0.6904827407004749,0.31164906341377896,desktop,card_chip,1076,0
txn_000005,user_9996,2025-08-24 18:15:01.720020,24.64,online,22,6,8,61,1925,6,177.44254851526532,498.60417890385185,5,487.2704429250967,172.8044883678951,0.5773836169318985,0.11799245987447787,desktop,online,799,0
txn_000006,user_9755,2025-09-08 02:15:01.720130,59.56,gas_station,14,0,9,49,1953,5,49.858445829774986,439.86377688384823,3,141.37755113064622,189.7136427004366,0.4790923731908288,0.3473924665198523,desktop,contactless,561,0
txn_000007,user_4627,2025-08-17 20:15:01.720248,40.49,retail,20,6,8,47,1384,7,179.21825998469865,352.1033012232707,1,172.45951222308588,136.58422169744523,0.0004163015962526551,0.1762844281670845,tablet,online,714,0
txn_000008,user_1663,2025-09-09 08:15:01.720367,18.24,online,8,1,9,71,1725,8,140.60379177903556,395.4481222603293,1,164.26193627045512,64.43769131094822,0.5570434182718307,0.356135294962221,mobile,card_chip,956,0
txn_000009,user_1854,2025-08-31 00:15:01.720476,136.3,gas_station,16,6,8,49,1278,1,47.91237813339448,187.65012848666194,4,251.50242405789123,119.52075603283903,0.47415737910351485,0.040426663166357624,tablet,card_chip,771,0
